식별번호,NC,OS,P,S,TS,해당되는 등급
ISM-1564,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1565,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1566,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1567,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1568,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1569,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1570,Y,Y,Y,Y,,"NC, OS, P, S"
ISM-1571,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1572,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1573,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1574,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1575,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1576,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1577,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1579,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1580,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1581,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1582,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1583,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1584,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1585,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1586,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1587,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1588,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1589,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1590,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1591,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1592,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1593,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1594,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1595,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1596,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1597,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1598,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1599,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1600,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1601,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1602,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1603,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1604,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1605,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1606,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1607,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1608,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1609,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1610,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1611,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1612,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1613,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1614,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1615,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1616,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1617,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1618,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1619,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1620,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1621,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1622,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1623,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1624,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1625,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1626,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1627,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1628,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1629,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1631,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1632,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1633,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1634,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1635,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1636,Y,Y,Y,Y,,"NC, OS, P, S"
ISM-1637,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1638,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1639,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1640,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1641,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1642,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1643,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1644,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
